Frequency of Green LED: 5
Duty Cycle of Green LED: 20
Frequency of Red LED: 5
Duty Cycle of Red LED: 50
Time, Green LED, Red LED
6.24,      1,       1
6.26,      0,       1
6.28,      0,       1
6.30,      0,       1
6.32,      0,       0
6.34,      0,       0
6.36,      0,       0
6.38,      0,       0
6.40,      0,       0
6.42,      1,       1
6.44,      1,       1
6.46,      0,       1
6.48,      0,       1
6.50,      0,       1
6.52,      0,       0
6.54,      0,       0
6.56,      0,       0
6.58,      0,       0
6.60,      0,       0
6.62,      1,       1
6.64,      1,       1
6.66,      0,       1
6.68,      0,       1
6.70,      0,       1
6.72,      0,       0
6.74,      0,       0
6.76,      0,       0
6.78,      0,       0
6.80,      0,       0
6.82,      1,       1
6.84,      1,       1
6.86,      0,       1
6.88,      0,       1
6.90,      0,       1
6.92,      0,       0
6.94,      0,       0
6.96,      0,       0
6.98,      0,       0
7.00,      0,       0
7.02,      1,       1
7.04,      1,       1
7.06,      0,       1
7.08,      0,       1
7.10,      0,       1
7.12,      0,       0
7.14,      0,       0
7.16,      0,       0
7.18,      0,       0
7.20,      0,       0
7.22,      1,       1
7.24,      1,       1
7.26,      0,       1
7.28,      0,       1
7.30,      0,       1
7.32,      0,       0
7.34,      0,       0
7.36,      0,       0
7.38,      0,       0
7.40,      0,       0
7.42,      1,       1
7.44,      1,       1
7.46,      0,       1
7.48,      0,       1
7.50,      0,       1
7.52,      0,       0
7.54,      0,       0
7.56,      0,       0
7.58,      0,       0
7.60,      0,       0
7.62,      1,       1
7.64,      1,       1
7.66,      0,       1
7.68,      0,       1
7.70,      0,       1
7.72,      0,       0
7.74,      0,       0
7.76,      0,       0
7.78,      0,       0
7.80,      0,       0
7.82,      1,       1
7.84,      1,       1
7.86,      0,       1
7.88,      0,       1
7.90,      0,       1
7.92,      0,       0
7.94,      0,       0
7.96,      0,       0
7.98,      0,       0
8.00,      0,       0
8.02,      1,       1
8.04,      1,       1
8.06,      0,       1
8.08,      0,       1
8.10,      0,       1
8.12,      0,       0
8.14,      0,       0
8.16,      0,       0
8.18,      0,       0
8.20,      0,       0
8.22,      1,       1
8.24,      1,       1
8.26,      0,       1
8.28,      0,       1
8.30,      0,       1
8.32,      0,       0
8.34,      0,       0
8.36,      0,       0
8.38,      0,       0
8.40,      0,       0
8.42,      1,       1
8.44,      1,       1
8.46,      0,       1
8.48,      0,       1
8.50,      0,       1
8.52,      0,       0
8.54,      0,       0
8.56,      0,       0
8.58,      0,       0
8.60,      0,       0
8.62,      1,       1
8.64,      1,       1
8.66,      0,       1
8.68,      0,       1
8.70,      0,       1
8.72,      0,       0
8.74,      0,       0
8.76,      0,       0
8.78,      0,       0
8.80,      0,       0
8.82,      1,       1
8.84,      1,       1
8.86,      0,       1
8.88,      0,       1
8.90,      0,       1
8.92,      0,       0
8.94,      0,       0
8.96,      0,       0
8.98,      0,       0
9.00,      0,       0
9.02,      1,       1
9.04,      1,       1
9.06,      0,       1
9.08,      0,       1
9.10,      0,       1
9.12,      0,       0
9.14,      0,       0
9.16,      0,       0
9.18,      0,       0
9.20,      0,       0
9.22,      1,       1
9.24,      1,       1
9.26,      0,       1
9.28,      0,       1
9.30,      0,       1
9.32,      0,       0
9.34,      0,       0
9.36,      0,       0
9.38,      0,       0
9.40,      0,       0
9.42,      1,       1
9.44,      1,       1
9.46,      0,       1
9.48,      0,       1
9.50,      0,       1
9.52,      0,       0
9.54,      0,       0
9.56,      0,       0
9.58,      0,       0
9.60,      0,       0
9.62,      1,       1
9.64,      1,       1
9.66,      0,       1
9.68,      0,       1
9.70,      0,       1
9.72,      0,       0
9.74,      0,       0
9.76,      0,       0
9.78,      0,       0
9.80,      0,       0
9.82,      1,       1
9.84,      1,       1
9.86,      0,       1
9.88,      0,       1
9.90,      0,       1
9.92,      0,       0
9.94,      0,       0
9.96,      0,       0
9.98,      0,       0
10.00,      0,       0
10.02,      1,       1
10.04,      1,       1
10.06,      0,       1
10.08,      0,       1
10.10,      0,       1
10.12,      0,       0
10.14,      0,       0
10.16,      0,       0
10.18,      0,       0
10.20,      0,       0
10.22,      1,       1
10.24,      1,       1
10.26,      0,       1
10.28,      0,       1
10.30,      0,       1
10.32,      0,       0
10.34,      0,       0
10.36,      0,       0
10.38,      0,       0
10.40,      0,       0
10.42,      1,       1
10.44,      1,       1
10.46,      0,       1
10.48,      0,       1
10.50,      0,       1
10.52,      0,       0
10.54,      0,       0
10.56,      0,       0
10.58,      0,       0
10.60,      0,       0
10.62,      1,       1
10.64,      1,       1
10.66,      0,       1
10.68,      0,       1
10.70,      0,       1
10.72,      0,       0
10.74,      0,       0
10.76,      0,       0
10.78,      0,       0
10.80,      0,       0
10.82,      1,       1
10.84,      1,       1
10.86,      0,       1
10.88,      0,       1
10.90,      0,       1
10.92,      0,       0
10.94,      0,       0
10.96,      0,       0
10.98,      0,       0
11.00,      0,       0
11.02,      1,       1
11.04,      1,       1
11.06,      0,       1
11.08,      0,       1
11.10,      0,       1
11.12,      0,       0
11.14,      0,       0
11.16,      0,       0
11.18,      0,       0
11.20,      0,       0
11.22,      1,       1
11.24,      1,       1
11.26,      0,       1
11.28,      0,       1
11.30,      0,       1
11.32,      0,       0
11.34,      0,       0
11.36,      0,       0
11.38,      0,       0
11.40,      0,       0
11.42,      1,       1
11.44,      1,       1
11.46,      0,       1
11.48,      0,       1
11.50,      0,       1
11.52,      0,       0
11.54,      0,       0
11.56,      0,       0
11.58,      0,       0
11.60,      0,       0
11.62,      1,       1
11.64,      1,       1
11.66,      0,       1
11.68,      0,       1
11.70,      0,       1
11.72,      0,       0
11.74,      0,       0
11.76,      0,       0
11.78,      0,       0
11.80,      0,       0
11.82,      1,       1
11.84,      1,       1
11.86,      0,       1
11.88,      0,       1
11.90,      0,       1
11.92,      0,       0
11.94,      0,       0
11.96,      0,       0
11.98,      0,       0
12.00,      0,       0
12.02,      1,       1
12.04,      1,       1
12.06,      0,       1
12.08,      0,       1
12.10,      0,       1
12.12,      0,       0
12.14,      0,       0
12.16,      0,       0
12.18,      0,       0
12.20,      0,       0
12.22,      1,       1
12.24,      1,       1
12.26,      0,       1
12.28,      0,       1
12.30,      0,       1
12.32,      0,       0
12.34,      0,       0
12.36,      0,       0
12.38,      0,       0
12.40,      0,       0
12.42,      1,       1
12.44,      1,       1
12.46,      0,       1
12.48,      0,       1
12.50,      0,       1
12.52,      0,       0
12.54,      0,       0
12.56,      0,       0
12.58,      0,       0
12.60,      0,       0
12.62,      1,       1
12.64,      1,       1
12.66,      0,       1
12.68,      0,       1
12.70,      0,       1
12.72,      0,       0
12.74,      0,       0
12.76,      0,       0
12.78,      0,       0
12.80,      0,       0
12.82,      1,       1
12.84,      1,       1
12.86,      0,       1
12.88,      0,       1
12.90,      0,       1
12.92,      0,       0
12.94,      0,       0
12.96,      0,       0
12.98,      0,       0
13.00,      0,       0
13.02,      1,       1
13.04,      1,       1
13.06,      0,       1
13.08,      0,       1
13.10,      0,       1
13.12,      0,       0
13.14,      0,       0
13.16,      0,       0
13.18,      0,       0
13.20,      0,       0
13.22,      1,       1
13.24,      1,       1
13.26,      0,       1
13.28,      0,       1
13.30,      0,       1
13.32,      0,       0
13.34,      0,       0
13.36,      0,       0
13.38,      0,       0
13.40,      0,       0
13.42,      1,       1
13.44,      1,       1
13.46,      0,       1
13.48,      0,       1
13.50,      0,       1
13.52,      0,       0
13.54,      0,       0
13.56,      0,       0
13.58,      0,       0
13.60,      0,       0
13.62,      1,       1
13.64,      1,       1
13.66,      0,       1
13.68,      0,       1
13.70,      0,       1
13.72,      0,       0
13.74,      0,       0
13.76,      0,       0
13.78,      0,       0
13.80,      0,       0
13.82,      1,       1
13.84,      1,       1
13.86,      0,       1
13.88,      0,       1
13.90,      0,       1
13.92,      0,       0
13.94,      0,       0
13.96,      0,       0
13.98,      0,       0
14.00,      0,       0
14.02,      1,       1
14.04,      1,       1
14.06,      0,       1
14.08,      0,       1
14.10,      0,       1
14.12,      0,       0
14.14,      0,       0
14.16,      0,       0
14.18,      0,       0
14.20,      0,       0
14.22,      1,       1
14.24,      1,       1
14.26,      0,       1
14.28,      0,       1
14.30,      0,       1
14.32,      0,       0
14.34,      0,       0
14.36,      0,       0
